id	expertise	gender	continent	lang	QA-pairs [1]	QA-pairs [2]	QA-pairs [3]	QA-pairs [4]	QA-pairs [5]	QA-pairs [6]	QA-pairs [7]	QA-pairs [8]	QA-pairs [9]	QA-pairs [10]	QA-pairs [11]	QA-pairs [12]	QA-pairs [13]	QA-pairs [14]	QA-pairs [15]	QA-pairs [16]	QA-pairs [17]	QA-pairs [18]	QA-pairs [19]	QA-pairs [20]	QA-pairs [21]	QA-pairs [22]	QA-pairs [23]	QA-pairs [24]	QA-pairs [25]	QA-pairs [26]	QA-pairs [27]	QA-pairs [28]	QA-pairs [29]	QA-pairs [30]	QA-pairs [31]	QA-pairs [32]	QA-pairs [33]	QA-pairs [34]	QA-pairs [35]	QA-pairs [36]	QA-pairs [37]	QA-pairs [38]	QA-pairs [39]	QA-pairs [40]	QA-pairs [41]	QA-pairs [42]	QA-pairs [43]	QA-pairs [44]	QA-pairs [45]	QA-pairs [46]	QA-pairs [47]	QA-pairs [48]	QA-pairs [49]	QA-pairs [50]	age
111	Expert	Male	North America	Yes	4	2	2	4	3	2	3	4	2	3	2	1. very dissimilar	4	2	1. very dissimilar	1. very dissimilar	2	4	3	1. very dissimilar	2	4	2	4	2	2	5. very similar	2	1. very dissimilar	2	3	1. very dissimilar	3	1. very dissimilar	3	4	3	2	1. very dissimilar	1. very dissimilar	2	4	2	2	5. very similar	4	2	4	2	3	26-35
112	Frequent user	Male	North America	No	5. very similar	5. very similar	1. very dissimilar	4	no answer	4	5. very similar	5. very similar	1. very dissimilar	5. very similar	3	1. very dissimilar	4	4	1. very dissimilar	no answer	3	5. very similar	1. very dissimilar	1. very dissimilar	2	4	5. very similar	4	no answer	5. very similar	4	1. very dissimilar	1. very dissimilar	1. very dissimilar	3	no answer	5. very similar	2	4	4	5. very similar	3	4	2	3	5. very similar	3	1. very dissimilar	5. very similar	5. very similar	1. very dissimilar	5. very similar	3	1. very dissimilar	26-35
113	Expert	Male	North America	Yes	5. very similar	5. very similar	3	5. very similar	5. very similar	4	4	5. very similar	2	4	3	3	4	5. very similar	1. very dissimilar	4	2	5. very similar	3	2	4	4	5. very similar	5. very similar	no answer	2	5. very similar	3	no answer	3	3	4	4	no answer	5. very similar	5. very similar	5. very similar	3	5. very similar	2	5. very similar	4	1. very dissimilar	3	5. very similar	4	3	5. very similar	3	no answer	26-35
114	Frequent user	Male	Europe	Yes	3	4	2	4	3	2	4	4	2	4	4	2	3	2	1. very dissimilar	1. very dissimilar	1. very dissimilar	4	4	1. very dissimilar	2	3	4	4	2	2	5. very similar	2	1. very dissimilar	2	2	2	4	1. very dissimilar	2	4	4	2	2	1. very dissimilar	4	4	3	3	4	4	1. very dissimilar	4	1. very dissimilar	1. very dissimilar	56-65
115	Frequent user	Female	Europe	Yes	5. very similar	1. very dissimilar	2	3	4	2	5. very similar	5. very similar	1. very dissimilar	4	2	1. very dissimilar	4	3	1. very dissimilar	1. very dissimilar	1. very dissimilar	3	4	1. very dissimilar	2	3	4	3	1. very dissimilar	2	4	1. very dissimilar	1. very dissimilar	3	1. very dissimilar	3	4	1. very dissimilar	2	5. very similar	3	2	2	1. very dissimilar	4	5. very similar	2	1. very dissimilar	5. very similar	5. very similar	1. very dissimilar	5. very similar	1. very dissimilar	1. very dissimilar	26-35
116	Occasional user	Male	Europe	Yes	4	2	1. very dissimilar	5. very similar	2	1. very dissimilar	5. very similar	3	1. very dissimilar	3	3	1. very dissimilar	5. very similar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	4	5. very similar	1. very dissimilar	1. very dissimilar	5. very similar	5. very similar	1. very dissimilar	1. very dissimilar	1. very dissimilar	5. very similar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	3	1. very dissimilar	1. very dissimilar	4	3	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	4	1. very dissimilar	1. very dissimilar	5. very similar	3	1. very dissimilar	4	1. very dissimilar	1. very dissimilar	26-35
117	Frequent user	Male	Europe	Yes	4	4	1. very dissimilar	5. very similar	3	2	5. very similar	5. very similar	1. very dissimilar	3	2	3	2	2	1. very dissimilar	1. very dissimilar	1. very dissimilar	4	3	1. very dissimilar	2	4	4	4	1. very dissimilar	4	5. very similar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	3	5. very similar	1. very dissimilar	1. very dissimilar	5. very similar	4	1. very dissimilar	3	1. very dissimilar	4	4	2	1. very dissimilar	5. very similar	3	1. very dissimilar	4	1. very dissimilar	1. very dissimilar	56-65
118	Expert	Male	Europe	Yes	3	2	1. very dissimilar	2	2	1. very dissimilar	3	4	1. very dissimilar	3	1. very dissimilar	1. very dissimilar	3	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	4	2	1. very dissimilar	1. very dissimilar	3	3	3	1. very dissimilar	3	4	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	2	1. very dissimilar	1. very dissimilar	4	3	1. very dissimilar	1. very dissimilar	1. very dissimilar	2	4	2	1. very dissimilar	4	3	1. very dissimilar	2	1. very dissimilar	1. very dissimilar	26-35
119	Expert	Female	Oceania	Yes	1. very dissimilar	2	1. very dissimilar	4	2	1. very dissimilar	2	4	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	2	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	3	2	2	1. very dissimilar	1. very dissimilar	5. very similar	1. very dissimilar	1. very dissimilar	2	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	4	4	1. very dissimilar	1. very dissimilar	1. very dissimilar	2	4	2	1. very dissimilar	5. very similar	1. very dissimilar	1. very dissimilar	2	2	1. very dissimilar	56-65
120		Male	Europe	No			1. very dissimilar	3	1. very dissimilar		2		1. very dissimilar	3		2			1. very dissimilar		1. very dissimilar		2		1. very dissimilar	2	2	2		1. very dissimilar		1. very dissimilar	1. very dissimilar		1. very dissimilar			1. very dissimilar		3	2	1. very dissimilar					1. very dissimilar				1. very dissimilar		1. very dissimilar		36-45
121	Frequent user	Male	Europe	Yes	4	3	2	5. very similar	4	2	4	4	2	5. very similar	2	3	4	3	1. very dissimilar	1. very dissimilar	1. very dissimilar	5. very similar	4	1. very dissimilar	2	5. very similar	5. very similar	3	1. very dissimilar	4	5. very similar	2	1. very dissimilar	3	2	3	5. very similar	1. very dissimilar	2	5. very similar	4	2	5. very similar	2	4	5. very similar	4	2	5. very similar	5. very similar	3	5. very similar	2	1. very dissimilar	46-55
122	Expert	Male	Europe	Yes	3	3	1. very dissimilar	4	4	1. very dissimilar	5. very similar	4	1. very dissimilar	3	2	2	3	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	3	3	1. very dissimilar	2	3	4	3	1. very dissimilar	4	5. very similar	1. very dissimilar	1. very dissimilar	2	1. very dissimilar	1. very dissimilar	4	1. very dissimilar	1. very dissimilar	5. very similar	3	1. very dissimilar	3	2	4	4	3	1. very dissimilar	5. very similar	3	1. very dissimilar	4	1. very dissimilar	3	26-35
123	Expert	Male	Europe	No	4	3	2	4	3	2	5. very similar	4	2	4	2	4	3	2	2	1. very dissimilar	2	4	3	1. very dissimilar	2	4	4	3	2	4	5. very similar	3	1. very dissimilar	3	2	2	3	1. very dissimilar	2	4	4	3	3	1. very dissimilar	3	5. very similar	4	1. very dissimilar	5. very similar	4	2	5. very similar	2	1. very dissimilar	36-45
124	Frequent user	Male	North America	Yes	2	1. very dissimilar	1. very dissimilar	5. very similar	1. very dissimilar	1. very dissimilar	1. very dissimilar	2	1. very dissimilar	1. very dissimilar	no answer	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	5. very similar	1. very dissimilar	1. very dissimilar	1. very dissimilar	2	1. very dissimilar	2	1. very dissimilar	1. very dissimilar	5. very similar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	2	1. very dissimilar	1. very dissimilar	4	3	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	4	1. very dissimilar	1. very dissimilar	4	2	1. very dissimilar	4	1. very dissimilar	1. very dissimilar	36-45
125	Frequent user	Female	Europe	Yes	4	2	2	5. very similar	4	1. very dissimilar	4	5. very similar	2	4	2	3	4	2	2	1. very dissimilar	2	5. very similar	3	2	3	5. very similar	4	4	1. very dissimilar	4	5. very similar	2	1. very dissimilar	2	2	3	4	1. very dissimilar	2	5. very similar	4	2	1. very dissimilar	2	2	5. very similar	4	1. very dissimilar	5. very similar	5. very similar	1. very dissimilar	5. very similar	1. very dissimilar	1. very dissimilar	26-35
126	Occasional user	Male	Europe	Yes	4	2	1. very dissimilar	3	3	1. very dissimilar	4	2	2	3	2	2	3	2	1. very dissimilar	1. very dissimilar	1. very dissimilar	2	1. very dissimilar	1. very dissimilar	2	2	4	1. very dissimilar	1. very dissimilar	1. very dissimilar	4	2	1. very dissimilar	2	1. very dissimilar	2	2	1. very dissimilar	1. very dissimilar	4	3	2	1. very dissimilar	1. very dissimilar	1. very dissimilar	4	2	1. very dissimilar	4	2	1. very dissimilar	4	1. very dissimilar	1. very dissimilar	26-35
127	Expert	Male	Europe	Yes	4	3	1. very dissimilar	3	3	2	5. very similar	5. very similar	3	2	2	4	3	2	1. very dissimilar	1. very dissimilar	1. very dissimilar	5. very similar	4	1. very dissimilar	1. very dissimilar	3	3	4	1. very dissimilar	3	5. very similar	2	1. very dissimilar	3	1. very dissimilar	1. very dissimilar	2	1. very dissimilar	2	3	2	2	2	1. very dissimilar	3	3	4	2	5. very similar	3	1. very dissimilar	4	1. very dissimilar	1. very dissimilar	36-45
128	Occasional user	Female	Europe	Yes	4	2	1. very dissimilar	4	1. very dissimilar	1. very dissimilar	4	5. very similar	1. very dissimilar	5. very similar	1. very dissimilar	1. very dissimilar	2	2	1. very dissimilar	2	1. very dissimilar	4	3	1. very dissimilar	2	2	4	2	1. very dissimilar	1. very dissimilar	5. very similar	1. very dissimilar	1. very dissimilar	2	1. very dissimilar	3	4	1. very dissimilar	1. very dissimilar	4	5. very similar	1. very dissimilar	1. very dissimilar	1. very dissimilar	2	5. very similar	3	1. very dissimilar	5. very similar	4	1. very dissimilar	4	1. very dissimilar	1. very dissimilar	36-45
129	Frequent user	Male	Europe	Yes	4	4	2	4	5. very similar	4	4	5. very similar	1. very dissimilar	5. very similar	2	2	4	4	3	2	2	4	3	2	4	4	3	2	2	3	5. very similar	2	1. very dissimilar	3	2	3	3	1. very dissimilar	4	5. very similar	3	3	4	3	4	5. very similar	3	2	5. very similar	4	3	4	2	1. very dissimilar	36-45
130	Occasional user	Female	Europe	Yes	5. very similar	2	1. very dissimilar	4	1. very dissimilar	1. very dissimilar	5. very similar	5. very similar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	4	1. very dissimilar	1. very dissimilar	3	1. very dissimilar	3	3	1. very dissimilar	2	4	5. very similar	3	1. very dissimilar	2	5. very similar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	4	4	1. very dissimilar	1. very dissimilar	3	4	1. very dissimilar	1. very dissimilar	1. very dissimilar	2	5. very similar	4	1. very dissimilar	4	4	1. very dissimilar	4	1. very dissimilar	1. very dissimilar	56-65
131	Occasional user	Male	Asia	No	5. very similar	5. very similar	1. very dissimilar	5. very similar	4	1. very dissimilar	5. very similar	5. very similar	1. very dissimilar	5. very similar	2	1. very dissimilar	2	4	1. very dissimilar	1. very dissimilar	1. very dissimilar	4	5. very similar	1. very dissimilar	1. very dissimilar	4	3	2	1. very dissimilar	1. very dissimilar	5. very similar	1. very dissimilar	1. very dissimilar	3	4	4	3	1. very dissimilar	2	5. very similar	4	1. very dissimilar	5. very similar	1. very dissimilar	1. very dissimilar	5. very similar	4	1. very dissimilar	5. very similar	5. very similar	2	4	1. very dissimilar	1. very dissimilar	26-35
132	Frequent user	Male	Europe	Yes	4	4	1. very dissimilar	5. very similar	5. very similar	2	5. very similar	5. very similar	2	5. very similar	5. very similar	5. very similar	5. very similar	1. very dissimilar	1. very dissimilar	2	1. very dissimilar	5. very similar	2	1. very dissimilar	2	5. very similar	4	1. very dissimilar	1. very dissimilar	1. very dissimilar	5. very similar	1. very dissimilar	1. very dissimilar	2	4	3	3	1. very dissimilar	1. very dissimilar	4	3	2	1. very dissimilar	1. very dissimilar	3	5. very similar	5. very similar	2	5. very similar	5. very similar	1. very dissimilar	5. very similar	1. very dissimilar	2	26-35
133	Expert	Male	North America	Yes	5. very similar	3	1. very dissimilar	4	4	1. very dissimilar	5. very similar	5. very similar	2	5. very similar	1. very dissimilar	1. very dissimilar	3	3	1. very dissimilar	1. very dissimilar	1. very dissimilar	5. very similar	4	1. very dissimilar	1. very dissimilar	4	4	4	1. very dissimilar	4	5. very similar	2	1. very dissimilar	4	1. very dissimilar	4	5. very similar	1. very dissimilar	1. very dissimilar	5. very similar	5. very similar	3	2	1. very dissimilar	2	5. very similar	3	1. very dissimilar	5. very similar	5. very similar	1. very dissimilar	5. very similar	1. very dissimilar	1. very dissimilar	36-45
134	Frequent user	Male	North America	Yes	5. very similar	no answer	3	3	no answer	no answer	5. very similar	4	1. very dissimilar	5. very similar	no answer	no answer	1. very dissimilar	5. very similar	2	no answer	no answer	5. very similar	3	no answer	no answer	5. very similar	no answer	4	no answer	no answer	5. very similar	1. very dissimilar	no answer	no answer	no answer	2	5. very similar	no answer	5. very similar	5. very similar	5. very similar	5. very similar	5. very similar	5. very similar	5. very similar	5. very similar	no answer	3	5. very similar	5. very similar	no answer	5. very similar	no answer	2	56-65
135	Expert	Male	Asia	No	5. very similar	3	1. very dissimilar	5. very similar	2	3	5. very similar	3	1. very dissimilar	4	4	2	4	3	1. very dissimilar	1. very dissimilar	2	4	1. very dissimilar	1. very dissimilar	2	5. very similar	5. very similar	4	1. very dissimilar	5. very similar	5. very similar	2	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	3	1. very dissimilar	3	5. very similar	4	1. very dissimilar	3	1. very dissimilar	1. very dissimilar	5. very similar	3	2	4	3	3	3	1. very dissimilar	1. very dissimilar	26-35
136	Occasional user	Male	Europe	Yes	1. very dissimilar	4	1. very dissimilar	5. very similar	4	1. very dissimilar	5. very similar	4	1. very dissimilar	4	3	2	4	4	1. very dissimilar	1. very dissimilar	2	5. very similar	4	1. very dissimilar	2	4	5. very similar	2	1. very dissimilar	4	5. very similar	1. very dissimilar	1. very dissimilar	2	2	2	4	1. very dissimilar	no answer	5. very similar	5. very similar	3	3	1. very dissimilar	4	4	3	1. very dissimilar	5. very similar	4	1. very dissimilar	5. very similar	1. very dissimilar	1. very dissimilar	36-45
137	Expert	Male	North America	Yes	3	2	2	4	2	2	4	5. very similar	2	4	4	3	2	2	2	1. very dissimilar	2	4	3	1. very dissimilar	1. very dissimilar	3	4	3	1. very dissimilar	3	4	2	1. very dissimilar	3	1. very dissimilar	2	5. very similar	1. very dissimilar	2	4	4	3	2	3	2	4	3	2	5. very similar	4	2	4	2	1. very dissimilar	46-55
138	Occasional user	Male	Europe	Yes	4	4	1. very dissimilar	4	5. very similar	1. very dissimilar	4	4	1. very dissimilar	5. very similar	2	3	4	3	1. very dissimilar	1. very dissimilar	2	5. very similar	4	1. very dissimilar	3	4	3	4	1. very dissimilar	2	5. very similar	1. very dissimilar	1. very dissimilar	1. very dissimilar	2	3	4	1. very dissimilar	3	5. very similar	2	2	5. very similar	1. very dissimilar	4	4	2	1. very dissimilar	5. very similar	3	4	5. very similar	2	1. very dissimilar	26-35
139	Occasional user	Male	Europe	Yes	2	1. very dissimilar	1. very dissimilar	3	2	1. very dissimilar	4	5. very similar	1. very dissimilar	2	1. very dissimilar	1. very dissimilar	2	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	3	3	1. very dissimilar	2	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	5. very similar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	2	1. very dissimilar	1. very dissimilar	5. very similar	3	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	2	1. very dissimilar	1. very dissimilar	4	2	1. very dissimilar	3	1. very dissimilar	1. very dissimilar	18-25
140	Occasional user	Male	Europe	Yes	2	4	5. very similar	4	4	4	4	2	5. very similar	4	4	4	5. very similar	3	1. very dissimilar	5. very similar	5. very similar	5. very similar	2	5. very similar	1. very dissimilar	1. very dissimilar	4	5. very similar	5. very similar	1. very dissimilar	4	1. very dissimilar	5. very similar	2	5. very similar	1. very dissimilar	4	1. very dissimilar	3	5. very similar	4	2	3	1. very dissimilar	3	1. very dissimilar	2	1. very dissimilar	1. very dissimilar	4	5. very similar	3	5. very similar	1. very dissimilar	18-25
142	Never used	Male	Europe	Yes	5. very similar	4	1. very dissimilar	5. very similar	3	1. very dissimilar	5. very similar	4	1. very dissimilar	4	1. very dissimilar	2	2	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	3	3	1. very dissimilar	2	4	4	3	1. very dissimilar	2	5. very similar	1. very dissimilar	1. very dissimilar	2	1. very dissimilar	2	3	1. very dissimilar	1. very dissimilar	4	4	1. very dissimilar	3	1. very dissimilar	2	5. very similar	2	1. very dissimilar	4	3	1. very dissimilar	5. very similar	1. very dissimilar	1. very dissimilar	18-25
143	Frequent user	Female	Europe	Yes	1. very dissimilar	1. very dissimilar	3	5. very similar	2	1. very dissimilar	5. very similar	4	1. very dissimilar	5. very similar	4	3	4	3	1. very dissimilar	1. very dissimilar	1. very dissimilar	5. very similar	4	1. very dissimilar	1. very dissimilar	5. very similar	1. very dissimilar	2	1. very dissimilar	4	5. very similar	1. very dissimilar	1. very dissimilar	2	1. very dissimilar	1. very dissimilar	3	1. very dissimilar	1. very dissimilar	5. very similar	4	1. very dissimilar	2	1. very dissimilar	5. very similar	5. very similar	1. very dissimilar	1. very dissimilar	5. very similar	3	1. very dissimilar	3	1. very dissimilar	1. very dissimilar	18-25
144	Occasional user	Male	Europe	Yes	4	3	2	5. very similar	3	1. very dissimilar	4	5. very similar	2	2	4	1. very dissimilar	5. very similar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	4	4	1. very dissimilar	4	4	4	2	1. very dissimilar	4	4	1. very dissimilar	1. very dissimilar	5. very similar	1. very dissimilar	2	3	1. very dissimilar	1. very dissimilar	5. very similar	2	3	4	5. very similar	2	4	4	1. very dissimilar	4	4	1. very dissimilar	5. very similar	4	3	18-25
145	Frequent user	Male	Europe	Yes	2	5. very similar	1. very dissimilar	4	4	4	5. very similar	5. very similar	1. very dissimilar	5. very similar	1. very dissimilar	1. very dissimilar	3	5. very similar	4	1. very dissimilar	1. very dissimilar	5. very similar	5. very similar	1. very dissimilar	4	5. very similar	5. very similar	4	1. very dissimilar	2	5. very similar	4	1. very dissimilar	1. very dissimilar	1. very dissimilar	4	2	1. very dissimilar	5. very similar	5. very similar	5. very similar	1. very dissimilar	5. very similar	5. very similar	5. very similar	5. very similar	1. very dissimilar	1. very dissimilar	4	4	5. very similar	5. very similar	1. very dissimilar	1. very dissimilar	18-25
146	Never used	Female	Europe	Yes	5. very similar	4	2	5. very similar	3	3	5. very similar	5. very similar	1. very dissimilar	4	2	3	4	3	2	2	1. very dissimilar	5. very similar	4	1. very dissimilar	1. very dissimilar	5. very similar	3	5. very similar	1. very dissimilar	4	5. very similar	2	1. very dissimilar	3	2	4	5. very similar	1. very dissimilar	2	5. very similar	5. very similar	1. very dissimilar	4	1. very dissimilar	4	5. very similar	4	1. very dissimilar	5. very similar	5. very similar	2	5. very similar	1. very dissimilar	1. very dissimilar	18-25
147	Occasional user	Male	Europe	Yes	4	4	3	3	4	3	5. very similar	3	1. very dissimilar	4	1. very dissimilar	3	3	3	3	2	1. very dissimilar	3	4	1. very dissimilar	2	4	5. very similar	2	1. very dissimilar	3	5. very similar	2	2	2	2	3	4	1. very dissimilar	4	4	4	2	5. very similar	3	3	4	2	1. very dissimilar	5. very similar	4	3	3	1. very dissimilar	2	18-25
148	Frequent user	Male	Europe	Yes	5. very similar	1. very dissimilar	3	1. very dissimilar	4	1. very dissimilar	5. very similar	5. very similar	1. very dissimilar	5. very similar	1. very dissimilar	5. very similar	5. very similar	4	1. very dissimilar	1. very dissimilar	1. very dissimilar	5. very similar	4	1. very dissimilar	3	5. very similar	5. very similar	1. very dissimilar	3	no answer	4	2	1. very dissimilar	1. very dissimilar	1. very dissimilar	5. very similar	5. very similar	4	5. very similar	5. very similar	5. very similar	1. very dissimilar	5. very similar	4	5. very similar	5. very similar	1. very dissimilar	4	5. very similar	5. very similar	4	5. very similar	1. very dissimilar	1. very dissimilar	26-35
149	Occasional user	Female	Europe	Yes	3	1. very dissimilar	2	5. very similar	3	5. very similar	no answer	4	5. very similar	5. very similar	1. very dissimilar	1. very dissimilar	3	1. very dissimilar	2	5. very similar	5. very similar	3	2	5. very similar	1. very dissimilar	no answer	5. very similar	5. very similar	4	2	5. very similar	1. very dissimilar	4	3	2	2	5. very similar	1. very dissimilar	3	5. very similar	5. very similar	1. very dissimilar	5. very similar	1. very dissimilar	2	2	2	1. very dissimilar	2	3	5. very similar	3	4	1. very dissimilar	46-55
150	Occasional user	Female	Europe	Yes	5. very similar	2	1. very dissimilar	4	3	1. very dissimilar	4	3	1. very dissimilar	3	1. very dissimilar	2	4	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	5. very similar	2	1. very dissimilar	1. very dissimilar	2	2	5. very similar	1. very dissimilar	1. very dissimilar	4	1. very dissimilar	1. very dissimilar	3	1. very dissimilar	1. very dissimilar	4	1. very dissimilar	1. very dissimilar	4	1. very dissimilar	1. very dissimilar	2	1. very dissimilar	1. very dissimilar	4	4	1. very dissimilar	5. very similar	4	1. very dissimilar	4	1. very dissimilar	1. very dissimilar	18-25
151	Occasional user	Male	Europe	Yes	3	5. very similar	2	3	4	5. very similar	5. very similar	4	1. very dissimilar	4	2	1. very dissimilar	2	5. very similar	1. very dissimilar	1. very dissimilar	2	5. very similar	2	1. very dissimilar	2	5. very similar	5. very similar	1. very dissimilar	1. very dissimilar	4	4	1. very dissimilar	1. very dissimilar	2	1. very dissimilar	3	5. very similar	1. very dissimilar	4	5. very similar	4	4	5. very similar	1. very dissimilar	5. very similar	5. very similar	1. very dissimilar	1. very dissimilar	4	4	5. very similar	4	1. very dissimilar	1. very dissimilar	18-25
152	Occasional user	Male	Europe	Yes	4	4	1. very dissimilar	3	2	2	5. very similar	5. very similar	1. very dissimilar	4	2	2	3	2	1. very dissimilar	1. very dissimilar	1. very dissimilar	5. very similar	4	1. very dissimilar	3	5. very similar	3	2	1. very dissimilar	4	5. very similar	1. very dissimilar	1. very dissimilar	2	1. very dissimilar	3	2	1. very dissimilar	2	4	3	1. very dissimilar	5. very similar	no answer	2	4	1. very dissimilar	1. very dissimilar	3	4	2	4	2	1. very dissimilar	18-25
153	Frequent user	Male	Europe	Yes	3	3	1. very dissimilar	4	3	1. very dissimilar	4	2	1. very dissimilar	3	2	2	4	2	3	1. very dissimilar	1. very dissimilar	5. very similar	3	1. very dissimilar	1. very dissimilar	2	2	1. very dissimilar	1. very dissimilar	2	5. very similar	1. very dissimilar	1. very dissimilar	2	1. very dissimilar	2	3	1. very dissimilar	no answer	4	3	2	2	2	2	4	2	2	5. very similar	3	1. very dissimilar	2	1. very dissimilar	1. very dissimilar	36-45
154	Never used	Female	Europe	Yes	3	2	1. very dissimilar	4	1. very dissimilar	1. very dissimilar	5. very similar	5. very similar	1. very dissimilar	3	1. very dissimilar	1. very dissimilar	4	2	1. very dissimilar	1. very dissimilar	1. very dissimilar	3	2	1. very dissimilar	1. very dissimilar	5. very similar	5. very similar	1. very dissimilar	no answer	2	3	1. very dissimilar	1. very dissimilar	2	1. very dissimilar	4	3	1. very dissimilar	1. very dissimilar	4	4	1. very dissimilar	1. very dissimilar	1. very dissimilar	2	3	3	1. very dissimilar	4	2	1. very dissimilar	4	1. very dissimilar	1. very dissimilar	18-25
155	Frequent user	Male	Europe	No	1. very dissimilar	1. very dissimilar	1. very dissimilar	3	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	2	1. very dissimilar	1. very dissimilar	2	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	3	1. very dissimilar	1. very dissimilar	1. very dissimilar	2	3	1. very dissimilar	1. very dissimilar	1. very dissimilar	3	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	4	1. very dissimilar	5. very similar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	3	1. very dissimilar	1. very dissimilar	1. very dissimilar	5. very similar	1. very dissimilar	3	1. very dissimilar	1. very dissimilar	46-55
156	Frequent user	Female	Europe	Yes	3	3	2	3	2	1. very dissimilar	4	3	1. very dissimilar	2	1. very dissimilar	1. very dissimilar	3	1. very dissimilar	1. very dissimilar	2	2	5. very similar	3	1. very dissimilar	1. very dissimilar	3	3	2	1. very dissimilar	2	5. very similar	2	1. very dissimilar	2	3	3	2	1. very dissimilar	2	3	3	2	2	1. very dissimilar	2	4	2	1. very dissimilar	5. very similar	2	1. very dissimilar	5. very similar	1. very dissimilar	1. very dissimilar	46-55
157	Never used	Female	Europe	Yes	5. very similar	5. very similar	2	4	4	5. very similar	4	2	1. very dissimilar	3	3	3	5. very similar	5. very similar	2	1. very dissimilar	1. very dissimilar	3	3	1. very dissimilar	4	5. very similar	3	4	1. very dissimilar	2	3	1. very dissimilar	3	4	1. very dissimilar	5. very similar	4	1. very dissimilar	5. very similar	5. very similar	3	3	5. very similar	2	5. very similar	4	2	1. very dissimilar	4	4	5. very similar	4	2	1. very dissimilar	18-25
158	Occasional user	Male	Europe	Yes	3	2	1. very dissimilar	4	2	1. very dissimilar	3	3	1. very dissimilar	3	1. very dissimilar	1. very dissimilar	3	2	1. very dissimilar	1. very dissimilar	1. very dissimilar	5. very similar	3	1. very dissimilar	1. very dissimilar	4	3	1. very dissimilar	2	3	4	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	3	1. very dissimilar	1. very dissimilar	3	3	1. very dissimilar	5. very similar	1. very dissimilar	2	2	3	1. very dissimilar	3	4	1. very dissimilar	3	1. very dissimilar	1. very dissimilar	56-65
159	Never used	Male	Europe	Yes	3	4	1. very dissimilar	5. very similar	5. very similar	1. very dissimilar	4	4	1. very dissimilar	3	2	3	5. very similar	4	2	1. very dissimilar	1. very dissimilar	5. very similar	4	1. very dissimilar	4	5. very similar	5. very similar	2	1. very dissimilar	4	5. very similar	1. very dissimilar	1. very dissimilar	1. very dissimilar	2	3	3	1. very dissimilar	3	5. very similar	5. very similar	4	4	2	3	4	1. very dissimilar	1. very dissimilar	4	4	1. very dissimilar	5. very similar	1. very dissimilar	1. very dissimilar	18-25
160	Occasional user	Male	Europe	Yes	3	4	1. very dissimilar	4	4	2	4	4	1. very dissimilar	4	1. very dissimilar	4	4	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	4	4	2	2	4	4	2	2	2	4	2	4	2	2	2	4	2	2	4	4	2	4	1. very dissimilar	2	4	4	5. very similar	4	4	1. very dissimilar	4	1. very dissimilar	2	36-45
