id	expertise	gender	continent	lang	QA-pairs [1]	QA-pairs [2]	QA-pairs [3]	QA-pairs [4]	QA-pairs [5]	QA-pairs [6]	QA-pairs [7]	QA-pairs [8]	QA-pairs [9]	QA-pairs [10]	QA-pairs [11]	QA-pairs [12]	QA-pairs [13]	QA-pairs [14]	QA-pairs [15]	QA-pairs [16]	QA-pairs [17]	QA-pairs [18]	QA-pairs [19]	QA-pairs [20]	QA-pairs [21]	QA-pairs [22]	QA-pairs [23]	QA-pairs [24]	QA-pairs [25]	QA-pairs [26]	QA-pairs [27]	QA-pairs [28]	QA-pairs [29]	QA-pairs [30]	QA-pairs [31]	QA-pairs [32]	QA-pairs [33]	QA-pairs [34]	QA-pairs [35]	QA-pairs [36]	QA-pairs [37]	QA-pairs [38]	QA-pairs [39]	QA-pairs [40]	QA-pairs [41]	QA-pairs [42]	QA-pairs [43]	QA-pairs [44]	QA-pairs [45]	QA-pairs [46]	QA-pairs [47]	QA-pairs [48]	QA-pairs [49]	QA-pairs [50]	age
116	Never used	Female	Europe	Yes	4	5. very related	2	4	5. very related	4	4	5. very related	1. very unrelated	5. very related	2	3	5. very related	3	3	2	2	5. very related	4	1. very unrelated	4	5. very related	5. very related	5. very related	1. very unrelated	4	5. very related	1. very unrelated	1. very unrelated	3	1. very unrelated	4	5. very related	1. very unrelated	2	5. very related	4	3	4	2	3	4	5. very related	1. very unrelated	5. very related	4	4	5. very related	1. very unrelated	1. very unrelated	18-25
117	Occasional user	Male	Europe	Yes	5. very related	4	4	5. very related	2	5. very related	5. very related	5. very related	1. very unrelated	4	4	4	5. very related	5. very related	3	3	2	5. very related	5. very related	1. very unrelated	2	5. very related	5. very related	5. very related	1. very unrelated	4	5. very related	2	1. very unrelated	2	1. very unrelated	5. very related	2	1. very unrelated	5. very related	5. very related	5. very related	2	5. very related	1. very unrelated	3	5. very related	1. very unrelated	1. very unrelated	5. very related	3	1. very unrelated	5. very related	1. very unrelated	1. very unrelated	18-25
118	Frequent user	Male	Europe	Yes	3	4	2	4	4	2	5. very related	4	2	4	2	2	4	2	1. very unrelated	1. very unrelated	1. very unrelated	5. very related	2	2	2	5. very related	5. very related	3	1. very unrelated	4	5. very related	1. very unrelated	1. very unrelated	2	2	4	3	1. very unrelated	2	5. very related	5. very related	1. very unrelated	4	2	2	5. very related	3	1. very unrelated	4	4	1. very unrelated	4	1. very unrelated	2	18-25
119	Occasional user	Male	Europe	Yes	4	4	3	4	4	2	5. very related	5. very related	2	3	3	4	4	2	2	2	2	4	4	2	2	4	5. very related	4	1. very unrelated	3	5. very related	3	1. very unrelated	3	1. very unrelated	4	5. very related	1. very unrelated	3	5. very related	3	2	4	2	3	5. very related	4	2	5. very related	5. very related	2	5. very related	2	2	18-25
120	Frequent user	Male	Europe	Yes	4	4	1. very unrelated	4	2	1. very unrelated	4	4	1. very unrelated	4	3	4	4	2	1. very unrelated	2	1. very unrelated	1. very unrelated	4	1. very unrelated	4	4	4	2	1. very unrelated	3	4	1. very unrelated	1. very unrelated	2	3	3	2	1. very unrelated	2	4	3	3	2	1. very unrelated	3	4	3	2	4	2	3	3	1. very unrelated	1. very unrelated	56-65
121	Frequent user	Male	Europe	Yes	2	1. very unrelated	1. very unrelated	2	3	1. very unrelated	4	1. very unrelated	1. very unrelated	1. very unrelated	2	1. very unrelated	2	1. very unrelated	1. very unrelated	1. very unrelated	1. very unrelated	4	1. very unrelated	1. very unrelated	1. very unrelated	1. very unrelated	3	1. very unrelated	1. very unrelated	1. very unrelated	5. very related	1. very unrelated	1. very unrelated	1. very unrelated	1. very unrelated	1. very unrelated	2	1. very unrelated	1. very unrelated	4	4	1. very unrelated	1. very unrelated	1. very unrelated	1. very unrelated	4	1. very unrelated	1. very unrelated	3	1. very unrelated	1. very unrelated	4	1. very unrelated	1. very unrelated	18-25
122	Frequent user	Male	Europe	Yes	5. very related	5. very related	1. very unrelated	3	4	5. very related	3	4	1. very unrelated	5. very related	4	3	5. very related	5. very related	1. very unrelated	1. very unrelated	1. very unrelated	5. very related	5. very related	1. very unrelated	3	4	3	3	1. very unrelated	1. very unrelated	5. very related	2	1. very unrelated	3	2	4	5. very related	1. very unrelated	5. very related	5. very related	5. very related	1. very unrelated	5. very related	1. very unrelated	5. very related	5. very related	4	1. very unrelated	5. very related	3	2	5. very related	2	1. very unrelated	36-45
123	Expert	Female	Europe	No	3	2	1. very unrelated	5. very related	4	1. very unrelated	5. very related	5. very related	2	5. very related	2	1. very unrelated	4	1. very unrelated	1. very unrelated	1. very unrelated	1. very unrelated	5. very related	5. very related	1. very unrelated	1. very unrelated	5. very related	5. very related	5. very related	1. very unrelated	4	5. very related	2	1. very unrelated	2	3	2	2	1. very unrelated	1. very unrelated	5. very related	3	2	5. very related	1. very unrelated	3	4	3	1. very unrelated	5. very related	3	1. very unrelated	5. very related	1. very unrelated	1. very unrelated	18-25
124	Occasional user	Male	Asia	No	5. very related	5. very related	1. very unrelated	5. very related	no answer	4	5. very related	5. very related	1. very unrelated	5. very related	3	3	4	5. very related	4	3	1. very unrelated	5. very related	4	3	no answer	4	4	3	no answer	no answer	5. very related	3	no answer	4	3	4	4	1. very unrelated	4	5. very related	4	1. very unrelated	5. very related	4	5. very related	5. very related	3	1. very unrelated	4	5. very related	5. very related	5. very related	4	1. very unrelated	18-25
125	Occasional user	Male	Europe	Yes	5. very related	4	1. very unrelated	5. very related	no answer	no answer	3	no answer	no answer	2	no answer	no answer	3	3	2	no answer	no answer	5. very related	2	no answer	no answer	5. very related	3	no answer	no answer	3	5. very related	no answer	no answer	no answer	no answer	1. very unrelated	2	no answer	4	4	4	3	3	no answer	2	5. very related	no answer	no answer	5. very related	4	3	2	no answer	no answer	46-55
126	Expert	Male	South America	No	5. very related	5. very related	4	4	5. very related	2	5. very related	4	3	5. very related	5. very related	5. very related	5. very related	5. very related	2	2	2	5. very related	5. very related	2	5. very related	5. very related	5. very related	5. very related	5. very related	5. very related	5. very related	3	3	3	4	3	5. very related	1. very unrelated	5. very related	5. very related	4	4	5. very related	5. very related	5. very related	4	2	4	5. very related	2	2	5. very related	3	4	26-35
127	Occasional user	Male	Europe	Yes	3	4	1. very unrelated	5. very related	5. very related	2	4	5. very related	1. very unrelated	4	4	2	3	2	1. very unrelated	1. very unrelated	1. very unrelated	5. very related	4	1. very unrelated	2	4	3	3	1. very unrelated	4	5. very related	2	1. very unrelated	2	1. very unrelated	4	5. very related	1. very unrelated	2	5. very related	3	3	5. very related	3	3	5. very related	4	2	5. very related	5. very related	4	5. very related	1. very unrelated	1. very unrelated	18-25
